Date;Open;High;Low;Close*;Adj Close**;Volume
Nov 03, 2021;81.32;84.50;80.19;80.54;80.54;72,626
Nov 02, 2021;84.04;84.18;81.08;81.99;81.99;50,062
Nov 01, 2021;84.42;85.22;83.76;84.72;84.72;40,105
Oct 31, 2021;83.73;85.11;83.03;84.71;84.71;36,245
Oct 28, 2021;84.19;84.56;84.06;84.38;84.38;35,155
Oct 27, 2021;84.18;84.57;82.31;84.32;84.32;10,576
Oct 26, 2021;86.13;86.27;84.05;84.58;84.58;25,643
Oct 25, 2021;86.03;86.53;85.28;86.40;86.40;32,042
Oct 24, 2021;85.71;86.72;85.44;85.99;85.99;43,061
Oct 21, 2021;84.65;85.94;83.83;85.53;85.53;41,174
Oct 20, 2021;85.88;86.12;83.36;84.61;84.61;49,004
Oct 19, 2021;85.10;85.89;83.63;85.82;85.82;43,107
Oct 18, 2021;84.11;85.40;83.71;85.08;85.08;45,141
Oct 17, 2021;85.05;86.03;83.96;84.33;84.33;40,153
Oct 14, 2021;84.20;85.10;84.17;84.86;84.86;33,044
Oct 13, 2021;83.35;84.53;83.19;84.00;84.00;37,348
Oct 12, 2021;83.16;83.69;82.21;83.18;83.18;39,594
Oct 11, 2021;83.61;84.23;82.72;83.42;83.42;47,351
Oct 10, 2021;82.59;84.60;82.56;83.65;83.65;46,216
Oct 07, 2021;82.39;83.43;81.96;82.39;82.39;48,729
Oct 06, 2021;80.80;82.50;79.08;81.95;81.95;43,83
Oct 05, 2021;82.66;83.44;80.59;81.08;81.08;41,389
Oct 04, 2021;81.28;83.11;81.20;82.56;82.56;44,439
Oct 03, 2021;79.36;82.00;78.76;81.26;81.26;43,286
Sep 30, 2021;78.41;79.41;77.57;79.28;79.28;31,697
Sep 29, 2021;78.33;79.16;77.64;78.52;78.52;51,076
Sep 28, 2021;78.25;79.41;77.53;78.64;78.64;8,319
Sep 27, 2021;79.42;80.74;78.08;79.09;79.09;21,656
Sep 26, 2021;78.23;79.88;78.21;79.53;79.53;20,799
Sep 23, 2021;77.18;78.25;76.87;78.09;78.09;20,417
Sep 22, 2021;75.87;77.34;75.60;77.25;77.25;26,832
Sep 21, 2021;74.61;76.26;74.51;76.19;76.19;26,605
Sep 20, 2021;74.23;75.17;73.25;74.36;74.36;25,14
Sep 19, 2021;75.39;75.39;73.51;73.92;73.92;28,251
Sep 16, 2021;75.01;75.78;74.58;75.34;75.34;26,771
